p	max	2000	100000
n	1	s	
n	2	t	
a	727	68	5074
a	1651	1724	9616
a	1947	1147	4586
a	1753	1208	6931
a	1877	1218	8019
a	886	687	6510
a	139	1344	6284
a	542	107	1687
a	541	1757	1208
a	341	219	8626
a	1964	217	5812
a	1982	1302	1973
a	1074	1063	1612
a	686	949	9105
a	396	1623	3485
a	515	1103	3253
a	1470	225	1292
a	1343	125	8679
a	1862	1191	8938
a	1735	687	8993
a	757	1504	5211
a	61	861	3382
a	213	2	1988
a	1945	1305	3856
a	1426	891	9256
a	1161	1802	745
a	241	1557	7222
a	368	1793	6737
a	199	51	6574
a	93	1580	3629
a	1236	1138	7917
a	388	386	1520
a	1243	342	6746
a	1875	1225	1075
a	1856	1039	2477
a	1141	1083	4661
a	1607	518	2933
a	1810	804	71
a	1704	1343	6372
a	1425	322	7844
a	779	1440	562
a	1634	1420	7660
a	1874	1439	5172
a	1927	1451	1525
a	571	1090	6132
a	350	455	3797
a	970	240	6168
a	398	633	2356
a	589	1370	2972
a	1493	132	1239
a	1682	509	8964
a	1594	721	1342
a	912	185	7333
a	822	988	2716
a	1633	1085	6407
a	988	460	4474
a	1	638	7043
a	935	1239	6171
a	1891	1765	9734
a	1912	1524	5870
a	1591	1276	6574
a	766	681	8514
a	512	1458	5410
a	927	1967	4434
a	849	675	6962
a	1531	543	4779
a	1404	1799	1635
a	1667	369	6113
a	1561	790	5813
a	567	825	8691
a	1028	317	5890
a	1503	1757	3351
a	1713	755	7909
a	608	1434	879
a	1789	1352	5844
a	1441	912	3638
a	1318	546	9019
a	1023	312	6784
a	656	1792	40
a	1145	2	3832
a	1198	1012	6950
a	421	892	7837
a	1804	1609	3286
a	781	1504	3884
a	1350	211	1294
a	926	731	6429
a	1943	1758	110
a	838	1927	8588
a	1165	294	9499
a	1670	1293	9600
a	1868	1003	1251
a	699	188	9023
a	791	1668	8729
a	1646	1232	2646
a	67	438	9124
a	1944	1606	4245
a	286	84	347
a	680	1567	4868
a	113	564	3883
a	1235	316	914
a	1696	826	250
a	1182	853	1919
a	1576	256	7882
a	1239	1640	9818
a	1334	48	2840
a	52	288	2950
a	1961	1482	6004
a	1043	1221	3987
a	552	872	4028
a	1	1766	365
a	815	645	6432
a	1096	101	5312
a	1700	865	8527
a	1442	81	7799
a	232	1776	5689
a	1831	1845	7265
a	1488	255	9294
a	1986	530	8445
a	291	1901	7711
a	683	31	9221
a	171	195	5806
a	563	1733	6331
a	1296	758	9463
a	1852	1103	4401
a	676	1964	889
a	782	353	7104
a	1743	690	5607
a	1658	1418	9634
a	1840	1011	8340
a	1757	1350	4978
a	523	519	9451
a	726	2	9083
a	1392	1246	9811
a	1524	1247	6821
a	1143	375	278
a	991	250	4132
a	297	1930	5236
a	1844	906	9287
a	1480	1437	1659
a	227	1853	1067
a	380	1901	5103
a	417	1245	2379
a	1869	457	9502
a	880	301	2539
a	456	805	4441
a	511	769	2154
a	633	619	1866
a	1975	1489	5101
a	1539	1229	398
a	144	898	1047
a	1444	1147	2367
a	252	611	966
a	1857	434	3737
a	238	570	6911
a	757	970	2222
a	206	1856	885
a	354	1763	3345
a	351	889	675
a	900	473	651
a	1255	1919	7870
a	155	2	6022
a	279	1752	8197
a	840	794	4082
a	1889	769	2213
a	1907	1608	4266
a	1944	766	7484
a	1875	1362	9193
a	1469	189	3617
a	1437	1907	8072
a	445	341	1653
a	339	974	897
a	1828	1104	7045
a	1014	1902	5589
a	223	1728	8301
a	779	966	2391
a	1016	1406	6613
a	1295	406	7497
a	984	392	8215
a	582	1725	2319
a	1302	502	1925
a	550	363	1058
a	899	1677	1765
a	1659	473	3005
a	260	1457	6705
a	158	528	8318
a	822	555	6735
a	1	459	8040
a	1047	1650	4252
a	95	1707	8647
a	944	741	7814
a	1718	1229	2896
a	1739	510	2009
a	1580	1978	9017
a	1121	827	5051
a	1047	23	832
a	1658	2	7098
a	1946	1480	9934
a	277	223	5006
a	1347	1321	3530
a	814	942	6476
a	1111	940	2418
a	1561	611	8106
a	747	377	343
a	1870	1943	5850
a	341	1240	3100
a	1263	1105	5698
a	1964	1236	9691
a	152	1895	7975
a	885	283	4190
a	1452	1280	4863
a	1420	58	4251
a	1293	772	2007
a	1277	553	7618
a	1703	889	3211
a	548	205	7230
a	947	1784	2983
a	221	1751	8143
a	1145	143	6653
a	993	906	4189
a	1385	664	7227
a	1200	1528	9103
a	262	175	5759
a	1000	1978	7092
a	1103	2	6348
a	241	522	5845
a	1285	1073	5455
a	1755	1415	7184
a	568	1677	9189
a	586	634	3023
a	1190	886	3071
a	1285	662	1473
a	21	301	7458
a	1787	790	8106
a	1882	754	3643
a	837	587	607
a	1284	1422	7703
a	78	417	886
a	666	1701	9194
a	742	1016	5341
a	191	66	3662
a	1134	462	9823
a	744	1649	1715
a	1316	575	763
a	1021	1839	9792
a	1519	16	8951
a	1178	1388	6546
a	1030	773	2017
a	1401	1713	4791
a	193	1914	6244
a	1387	1410	2259
a	1687	1213	6023
a	306	1467	717
a	158	424	5158
a	1728	582	673
a	1601	1224	3589
a	1	1651	8754
a	850	1212	3014
a	829	589	5245
a	243	512	7318
a	462	802	6868
a	1993	1638	5653
a	621	299	9971
a	658	311	2260
a	1633	735	6313
a	342	180	4116
a	1174	663	4459
a	1453	1956	9471
a	1273	1240	7591
a	229	1426	2509
a	464	706	9364
a	814	1062	2659
a	482	1559	9026
a	436	296	1480
a	272	1337	5877
a	902	1297	8084
a	1035	460	1658
a	1277	1681	2162
a	415	914	5811
a	235	670	387
a	276	1280	2730
a	573	1526	1427
a	668	2	9862
a	1512	286	7269
a	795	784	4212
a	954	1971	8915
a	933	162	3144
a	1855	1983	6471
a	1804	1519	5736
a	481	355	2043
a	580	937	3120
a	1509	639	9596
a	1516	333	1822
a	1850	541	2153
a	838	353	4803
a	932	1754	7690
a	481	1800	2283
a	1403	1649	35
a	130	288	6400
a	79	839	2180
a	1312	1896	9391
a	1522	589	5219
a	1727	326	6243
a	1529	1823	4663
a	1402	23	9370
a	168	1846	2773
a	1418	784	1281
a	1847	1821	4725
a	1222	266	779
a	528	290	9652
a	1893	1231	3903
a	1178	1764	98
a	1934	215	2069
a	615	887	4415
a	1425	1681	7224
a	899	1654	7067
a	843	1640	1872
a	165	588	8667
a	1733	551	5800
a	1366	644	8065
a	345	948	7352
a	160	1860	2910
a	893	1486	1652
a	1518	963	1167
a	1	320	8826
a	400	851	3844
a	552	454	4854
a	1126	464	5214
a	1532	799	5186
a	363	1320	3706
a	1725	948	9044
a	19	1444	3414
a	1488	1373	2346
a	1181	918	9572
a	722	1949	6345
a	523	1592	323
a	1245	111	9694
a	892	1273	7723
a	1600	2	8588
a	196	116	7583
a	1434	206	7488
a	740	1609	6127
a	1510	93	9112
a	1950	1166	593
a	1971	413	634
a	1390	647	1838
a	235	1923	3081
a	1445	974	3480
a	751	331	6718
a	1756	780	4601
a	580	33	3753
a	1777	1083	3468
a	1774	1469	3824
a	100	1963	7577
a	488	217	7075
a	340	1178	3179
a	787	1885	6839
a	1237	1153	8062
a	780	562	6103
a	579	1567	7037
a	379	273	4948
a	1264	1301	895
a	1727	1246	7930
a	1437	880	2501
a	1225	1882	2785
a	1040	902	6311
a	134	371	7958
a	1907	166	4412
a	286	1870	7249
a	1817	210	6057
a	1268	372	6211
a	1734	1365	1455
a	1987	1586	1326
a	1918	490	1352
a	1229	1811	1985
a	1136	942	2600
a	140	1207	5563
a	412	1932	9026
a	571	1661	8163
a	1267	1992	578
a	1860	423	1314
a	223	166	2475
a	1627	340	2445
a	1348	339	7814
a	172	736	3810
a	375	491	4607
a	1544	1824	8282
a	949	296	2820
a	513	548	2076
a	1	1480	8761
a	331	65	2219
a	1772	1342	7464
a	1126	600	6871
a	1057	1996	1782
a	722	805	3675
a	854	1562	4083
a	1905	372	2412
a	639	588	5038
a	323	1906	7709
a	1340	673	3484
a	1035	1657	1883
a	1012	1134	8799
a	1150	1292	5362
a	177	1513	6997
a	1551	490	8281
a	1883	394	6214
a	548	1635	5413
a	1371	606	420
a	753	731	6218
a	1622	21	3566
a	668	1656	5719
a	739	280	3327
a	149	536	685
a	170	1257	9399
a	1661	1649	3524
a	1788	261	8126
a	896	883	6215
a	1331	109	2201
a	282	106	8139
a	427	1039	4899
a	1317	2	562
a	1280	829	760
a	1022	792	2833
a	1762	1819	2526
a	125	1562	3946
a	275	1247	7598
a	53	1017	1178
a	289	1310	8623
a	1538	616	1310
a	1923	190	9480
a	1254	566	8041
a	1609	517	8992
a	154	211	4180
a	1867	333	256
a	1913	511	4293
a	112	617	9696
a	1696	339	5900
a	352	216	3339
a	1528	859	8983
a	797	960	1678
a	1239	1027	5586
a	635	1799	1796
a	391	115	6137
a	1562	260	3800
a	1813	2000	2175
a	1	221	1944
a	1507	1255	4488
a	109	1108	7484
a	1751	856	7391
a	497	590	1534
a	98	1115	5797
a	33	748	1719
a	1831	1228	6963
a	1806	1254	2667
