p	max	100	5000
n	1	s	
n	2	t	
a	6	85	518
a	10	68	960
a	62	66	143
a	92	66	634
a	34	14	58
a	24	13	693
a	56	15	781
a	94	32	665
a	56	90	316
a	54	88	52
a	96	2	725
a	20	85	260
a	100	93	75
a	83	28	575
a	49	47	403
a	18	28	806
a	89	31	43
a	98	63	569
a	64	94	86
a	38	23	104
a	51	37	621
a	30	14	441
a	27	53	261
a	90	10	533
a	73	89	56
a	66	26	819
a	16	46	942
a	50	77	216
a	12	3	54
a	9	93	729
a	73	49	158
a	53	90	92
a	15	49	862
a	87	13	941
a	23	90	179
a	65	26	277
a	47	49	629
a	10	64	151
a	98	27	478
a	47	50	310
a	40	91	714
a	81	67	539
a	3	21	294
a	62	34	19
a	100	72	325
a	65	67	551
a	54	6	875
a	13	88	346
a	14	79	84
a	48	63	377
a	62	71	894
a	26	54	112
a	71	9	812
a	38	16	30
a	86	90	668
a	57	92	752
a	12	85	202
a	11	22	595
a	26	73	721
a	23	72	793
a	5	89	555
a	65	19	189
a	65	96	897
a	77	75	898
a	40	66	813
a	86	97	494
a	79	94	379
a	95	85	962
a	68	72	686
a	67	90	348
a	77	46	753
a	94	78	502
a	19	31	304
a	66	77	801
a	64	42	985
a	73	76	57
a	39	78	125
a	7	34	435
a	67	34	180
a	75	63	227
a	58	86	176
a	9	88	776
a	48	13	763
a	37	79	887
a	76	68	940
a	34	28	438
a	15	34	413
a	55	83	266
a	83	35	55
a	17	63	621
a	97	71	133
a	95	31	190
a	60	83	83
a	64	6	805
a	39	80	65
a	50	87	568
a	93	26	512
a	47	83	559
a	54	2	685
a	47	61	870
a	35	91	685
a	44	43	609
a	81	91	856
a	74	28	234
a	36	94	489
a	28	32	932
a	58	83	674
a	87	78	57
a	74	39	252
a	43	13	650
a	64	25	316
a	89	4	156
a	43	34	922
a	66	83	87
a	16	23	980
a	18	27	212
a	83	2	203
a	64	44	190
a	42	80	132
a	99	44	273
a	3	15	521
a	22	57	474
a	7	48	250
a	17	25	880
a	49	94	271
a	76	94	309
a	86	82	461
a	83	65	833
a	83	38	27
a	36	26	46
a	95	89	622
a	74	88	819
a	74	85	104
a	9	86	506
a	36	75	575
a	43	58	995
a	99	85	859
a	53	85	186
a	8	49	227
a	53	63	416
a	5	45	63
a	19	77	303
a	1	63	607
a	27	35	459
a	29	82	718
a	75	27	983
a	34	30	890
a	20	64	387
a	57	83	64
a	33	41	919
a	70	86	346
a	82	42	233
a	33	44	119
a	18	61	253
a	29	9	446
a	33	67	488
a	54	81	398
a	100	57	572
a	19	100	949
a	12	60	802
a	46	53	841
a	100	92	347
a	86	66	456
a	67	68	335
a	52	62	198
a	17	49	383
a	21	5	630
a	19	10	328
a	82	39	516
a	5	13	822
a	52	87	294
a	66	59	616
a	8	30	323
a	6	14	613
a	47	96	351
a	25	96	83
a	95	88	350
a	45	73	189
a	63	33	965
a	46	22	391
a	54	48	304
a	33	46	413
a	40	81	843
a	99	45	478
a	89	79	284
a	39	52	173
a	8	10	629
a	51	12	647
a	31	67	451
a	91	70	526
a	31	40	491
a	30	100	306
a	89	96	861
a	5	69	724
a	4	41	509
a	49	62	694
a	25	43	90
a	21	46	623
a	58	95	339
a	71	70	482
a	59	64	864
a	68	22	509
a	76	11	373
a	57	29	844
a	53	8	50
a	45	97	550
a	33	57	273
a	51	98	613
a	4	92	459
a	89	15	64
a	19	38	413
a	94	20	879
a	63	43	430
a	67	64	967
a	14	93	518
a	54	59	2
a	67	22	458
a	94	13	489
a	61	93	391
a	89	65	938
a	17	23	59
a	18	10	115
a	39	24	928
a	22	90	500
a	32	26	914
a	53	92	96
a	4	75	561
a	95	55	105
a	5	48	715
a	56	57	263
a	32	33	738
a	70	53	746
a	13	3	127
a	69	9	321
a	31	52	70
a	27	70	95
a	89	26	821
a	8	75	701
a	42	53	97
a	84	85	807
a	80	42	733
a	19	83	103
a	32	39	50
a	91	99	269
a	52	39	205
a	97	15	795
a	33	95	520
a	67	10	77
a	82	49	978
a	89	9	795
a	58	62	48
a	40	98	17
a	24	19	218
a	56	2	878
a	59	14	890
a	69	25	894
a	34	77	770
a	34	54	165
a	34	99	939
a	86	23	353
a	84	64	774
a	1	81	106
a	47	88	959
a	35	63	634
a	38	40	117
a	11	63	937
a	32	47	300
a	14	91	958
a	90	18	875
a	74	75	560
a	14	7	912
a	72	43	905
a	64	12	177
a	31	33	739
a	86	50	678
a	91	9	665
a	86	38	390
a	14	23	47
a	43	2	245
a	8	36	156
a	45	43	598
a	53	51	987
a	76	69	170
a	19	69	464
a	45	92	780
a	65	53	406
a	19	62	291
a	96	36	402
a	16	74	525
a	52	83	538
a	39	93	591
a	3	8	984
a	20	31	623
a	82	8	724
a	14	83	70
a	65	95	950
a	41	17	918
a	12	14	394
a	81	25	351
a	81	68	732
a	29	50	161
a	8	65	62
a	8	39	896
a	43	93	684
a	9	28	559
a	45	37	450
a	58	54	359
a	37	20	176
a	10	84	944
a	46	14	156
a	7	37	824
a	58	79	716
a	28	47	719
a	100	67	643
a	55	14	672
a	17	26	654
a	96	67	301
a	57	89	410
a	50	26	665
a	70	93	136
a	83	33	279
a	92	97	666
a	12	72	8
a	30	77	583
a	21	44	993
a	53	30	219
a	75	48	44
a	36	89	872
a	9	81	675
a	26	70	489
a	97	61	545
a	13	69	980
a	16	57	410
a	76	85	972
a	77	32	291
a	72	87	883
a	62	60	978
a	40	67	827
a	10	17	588
a	100	40	152
a	33	88	583
a	61	50	548
a	62	20	983
a	50	17	845
a	44	52	877
a	44	45	145
a	74	14	612
a	68	80	702
a	90	42	999
a	17	70	342
a	70	80	462
a	9	59	349
a	16	47	666
a	94	98	402
a	50	29	919
a	45	7	959
a	82	74	682
a	66	7	251
a	85	32	52
a	48	74	724
a	76	51	653
a	90	77	217
a	48	65	666
a	12	9	73
a	45	70	926
a	69	100	492
a	53	21	469
a	28	6	259
a	77	90	717
a	90	70	293
a	87	98	794
a	20	17	775
a	1	22	39
a	11	54	419
a	15	59	730
a	95	92	206
a	13	22	937
a	33	15	526
a	80	81	617
a	92	89	634
a	69	61	461
a	13	32	232
a	12	69	673
a	82	70	871
a	73	70	139
a	90	17	474
a	59	25	802
a	6	83	282
a	79	14	404
a	14	72	312
a	23	59	476
a	5	99	256
a	32	56	525
a	76	57	781
a	24	75	288
a	71	16	401
a	51	91	943
a	14	22	266
a	28	48	318
a	25	53	482
a	51	15	306
a	4	90	982
a	82	10	922
a	16	75	336
a	65	48	157
a	64	95	846
a	21	36	631
a	95	69	366
a	17	53	844
a	78	35	490
a	71	97	668
a	17	58	982
a	48	7	522
a	89	90	967
a	68	38	212
a	62	100	789
a	23	66	329
a	66	2	319
a	62	46	596
a	78	53	363
a	1	15	665
a	16	41	183
a	20	61	117
a	88	52	250
a	64	46	639
a	60	6	195
a	93	4	189
a	31	76	811
a	58	75	483
a	7	75	360
a	80	91	366
a	33	83	247
a	35	93	411
a	36	39	409
a	10	92	280
a	19	22	772
a	32	21	202
a	38	78	52
a	99	46	805
a	44	42	918
a	61	9	932
a	92	78	406
a	72	96	499
a	17	6	807
a	94	66	182
a	5	25	703
a	98	28	845
a	77	41	755
a	67	61	274
a	78	40	991
a	58	70	662
a	73	83	344
a	8	9	258
a	32	87	463
a	23	74	649
a	70	43	743
a	76	80	738
a	90	47	96
a	70	54	390
a	24	95	725
a	85	5	908
a	9	62	401
a	4	77	177
a	95	22	815
a	53	71	87
a	85	89	912
a	41	46	990
a	62	73	764
a	39	82	507
a	18	77	45
a	51	8	194
a	28	15	72
a	69	84	640
a	51	60	663
a	91	81	631
a	34	22	186
a	92	90	653
a	58	5	464
a	70	16	710
a	76	63	887
a	6	40	304
a	38	12	101
a	17	61	854
a	34	29	626
a	37	32	585
a	92	86	854
a	23	52	965
a	4	45	445
a	33	27	957
a	92	40	630
a	99	74	138
a	77	69	608
a	6	51	295
a	84	65	174
a	49	30	646
a	12	65	300
a	56	65	966
a	58	16	291
a	95	74	326
a	40	57	571
a	10	36	423
a	33	32	947
a	96	30	755
a	23	41	711
a	73	51	782
a	24	82	721
a	85	24	820
a	35	82	887
a	87	58	593
a	45	100	828
a	45	90	780
a	47	76	17
a	100	46	517
a	17	4	491
a	6	8	674
a	15	72	777
a	20	47	625
a	16	52	42
a	56	27	405
a	73	15	934
a	23	17	75
a	63	4	782
a	53	96	974
a	9	45	204
a	50	83	283
a	36	37	851
a	5	87	961
a	90	88	591
a	23	98	98
a	4	33	605
a	65	2	980
a	45	62	44
a	100	33	293
a	80	23	222
a	80	18	232
a	87	84	60
a	73	60	81
a	20	91	531
a	50	6	854
a	26	12	557
a	10	67	806
a	97	45	505
a	97	51	344
a	23	68	4
a	93	5	440
a	64	32	779
a	52	95	981
a	39	16	705
a	65	16	830
a	54	65	446
a	19	26	820
a	94	40	352
a	6	69	771
a	32	13	799
a	65	21	251
a	74	91	600
a	41	70	307
a	72	48	549
a	98	6	738
a	6	5	761
