p	max	100	2500
n	1	s	
n	2	t	
a	32	54	466
a	14	74	694
a	8	63	398
a	63	76	849
a	46	12	192
a	29	44	735
a	11	90	572
a	72	92	861
a	73	82	936
a	36	34	318
a	93	15	188
a	58	19	19
a	41	57	559
a	44	34	273
a	86	22	672
a	69	38	847
a	34	8	208
a	15	30	540
a	42	88	41
a	5	84	485
a	6	98	223
a	81	35	342
a	45	61	789
a	77	55	887
a	23	95	40
a	82	66	735
a	14	77	945
a	1	40	52
a	8	38	273
a	7	22	33
a	65	11	635
a	46	23	694
a	11	83	665
a	85	56	547
a	36	41	452
a	54	87	496
a	19	96	546
a	37	54	282
a	94	57	25
a	42	67	205
a	45	54	100
a	52	24	917
a	33	74	247
a	89	21	309
a	70	81	80
a	71	93	672
a	57	60	593
a	40	4	335
a	7	15	971
a	46	30	76
a	48	68	383
a	12	90	683
a	16	29	135
a	54	46	523
a	58	37	108
a	5	53	998
a	44	16	697
a	9	50	981
a	12	41	952
a	98	63	865
a	91	68	512
a	74	52	408
a	70	72	671
a	18	98	392
a	57	69	1000
a	78	56	923
a	7	4	104
a	65	5	842
a	12	81	602
a	73	69	524
a	54	33	877
a	37	87	148
a	36	95	577
a	5	62	295
a	61	49	399
a	26	85	348
a	9	59	489
a	66	60	172
a	69	17	896
a	5	79	406
a	81	22	913
a	98	54	713
a	45	40	861
a	49	45	201
a	38	9	234
a	99	13	542
a	28	23	98
a	70	67	276
a	71	83	877
a	78	3	28
a	100	20	568
a	46	40	305
a	29	48	947
a	90	14	341
a	54	56	630
a	37	80	246
a	97	80	75
a	61	74	53
a	44	6	270
a	83	37	466
a	66	55	555
a	86	50	26
a	51	76	977
a	91	37	599
a	94	18	230
a	77	74	355
a	59	28	479
a	62	59	206
a	84	12	838
a	67	76	695
a	13	56	114
a	35	23	781
a	91	82	998
a	4	7	833
a	95	70	684
a	43	100	411
a	26	52	446
a	78	10	706
a	65	23	334
a	36	77	163
a	19	15	637
a	41	30	278
a	34	39	672
a	37	42	360
a	94	21	411
a	77	67	349
a	42	39	364
a	10	12	904
a	49	95	175
a	67	53	325
a	55	65	103
a	32	96	812
a	33	86	990
a	90	97	829
a	71	65	36
a	1	13	588
a	58	86	404
a	43	93	985
a	26	63	487
a	100	26	972
a	46	58	802
a	68	99	141
a	90	16	945
a	22	35	939
a	97	98	683
a	79	54	260
a	62	90	289
a	9	46	817
a	83	51	334
a	66	9	961
a	86	76	580
a	88	38	152
a	91	51	675
a	55	41	772
a	6	56	396
a	45	19	262
a	10	55	154
a	49	80	132
a	67	58	732
a	31	64	179
a	87	39	654
a	35	5	541
a	1	6	485
a	78	20	187
a	43	82	474
a	44	92	43
a	46	61	519
a	69	100	335
a	62	93	472
a	47	38	506
a	52	83	828
a	17	23	189
a	91	8	187
a	20	4	337
a	59	35	323
a	6	51	663
a	50	89	196
a	31	73	336
a	35	10	630
a	92	41	839
a	38	53	714
a	40	95	274
a	95	44	695
a	3	85	826
a	43	58	48
a	60	2	436
a	11	21	172
a	50	40	876
a	14	2	12
a	72	5	995
a	21	84	479
a	22	66	629
a	43	75	328
a	15	33	497
a	52	90	712
a	94	14	369
a	42	16	356
a	10	57	938
a	87	53	827
a	35	51	221
a	57	2	583
a	40	70	793
a	75	88	972
a	14	5	893
a	21	93	805
a	83	89	74
a	47	71	435
a	15	46	701
a	22	52	1000
a	62	79	689
a	9	65	856
a	47	52	296
a	88	59	740
a	86	81	925
a	3	50	299
a	96	75	723
a	24	77	215
a	23	47	862
a	6	45	511
a	64	36	649
a	10	32	816
a	67	17	637
a	32	29	765
a	13	85	182
a	57	11	525
a	38	39	939
a	60	16	97
a	8	22	322
a	82	5	320
a	11	3	992
a	90	69	794
a	36	25	816
a	39	60	553
a	22	92	104
a	80	51	475
a	61	15	789
a	7	87	17
a	100	62	332
a	48	12	985
a	68	71	841
a	69	95	907
a	51	9	490
a	15	55	239
a	61	96	926
a	9	74	624
a	10	88	549
a	77	96	608
a	42	2	901
a	25	74	378
a	23	36	825
a	64	59	776
a	67	22	146
a	74	76	794
a	57	12	707
a	92	54	443
a	96	49	417
a	4	90	96
a	60	47	732
a	7	63	737
a	63	34	285
a	68	63	308
a	90	76	329
a	1	98	147
a	79	98	911
a	48	3	103
a	68	78	56
a	15	60	223
a	17	98	192
a	24	44	393
a	66	100	614
a	91	20	675
a	56	50	463
a	20	24	774
a	96	89	960
a	77	25	923
a	81	94	359
a	6	31	193
a	32	43	473
a	35	38	5
a	38	81	463
a	4	65	536
a	60	38	753
a	65	85	488
a	11	49	419
a	89	95	860
a	72	33	571
a	46	96	27
a	56	74	79
a	30	9	582
a	34	84	170
a	35	94	394
a	56	57	478
a	77	18	636
a	81	87	466
a	35	47	855
a	57	30	689
a	39	90	271
a	60	61	256
a	8	11	869
a	7	45	419
a	28	86	393
a	11	54	77
a	33	5	511
a	90	94	236
a	58	7	749
a	22	97	313
a	80	24	766
a	97	32	639
a	93	84	189
a	41	86	503
a	35	71	220
a	20	46	262
a	23	51	86
a	81	72	682
a	32	57	115
a	60	52	456
a	48	89	750
a	16	50	497
a	36	61	753
a	80	31	196
a	44	45	2
a	47	96	22
a	42	87	337
a	81	48	277
a	49	15	906
a	20	53	482
a	59	82	512
a	60	92	154
a	23	72	784
a	45	91	435
a	28	53	430
a	31	24	943
a	14	64	355
a	40	16	777
a	39	72	458
a	4	62	617
a	65	56	236
a	29	82	766
a	85	53	11
a	33	23	956
a	72	86	392
a	90	32	471
a	54	90	40
a	58	9	911
a	78	76	172
a	9	30	199
a	48	47	792
a	52	100	661
a	15	16	180
a	17	78	220
a	56	95	8
a	37	3	178
a	76	34	174
a	27	21	891
a	13	26	159
a	34	97	136
a	92	98	579
a	77	61	114
a	82	72	865
a	84	81	837
a	85	77	90
a	92	17	979
a	95	100	389
a	78	36	957
a	8	32	427
a	36	35	266
a	1	71	632
a	93	14	992
a	44	35	892
a	86	23	85
a	37	12	904
a	24	15	819
a	66	67	174
a	67	83	565
a	91	73	542
a	20	59	510
a	3	5	642
a	77	54	482
a	59	96	244
a	23	94	247
a	82	67	511
a	85	86	993
a	1	47	915
a	48	78	696
a	29	36	370
a	12	92	547
a	73	90	558
a	54	84	878
a	88	68	987
a	73	43	844
a	94	62	391
a	24	22	114
a	81	27	240
a	45	53	374
a	66	90	679
a	13	12	276
a	87	5	258
a	3	10	819
a	8	95	25
a	45	70	900
a	32	69	376
a	33	73	551
a	89	20	660
a	71	92	639
a	40	5	725
a	4	43	823
a	78	54	287
a	8	46	908
a	65	3	763
a	46	31	343
a	48	69	911
a	16	30	383
a	1	81	334
a	98	77	561
a	61	55	486
a	9	49	304
a	27	75	69
a	66	34	304
a	86	33	769
a	88	75	921
a	34	27	422
a	37	62	339
a	20	90	305
a	76	79	784
a	77	87	308
a	24	29	873
a	98	60	599
a	66	85	96
a	99	7	502
a	50	10	189
a	53	15	505
a	40	12	939
a	95	83	185
a	26	35	490
a	46	38	579
a	12	82	850
a	33	51	502
a	16	21	375
a	90	4	508
a	54	38	547
a	36	88	176
a	41	19	674
a	22	31	491
a	61	48	927
a	44	8	725
a	26	82	862
a	51	70	544
a	69	16	155
a	34	18	991
a	94	40	557
a	59	6	889
a	6	84	883
a	62	49	189
a	49	44	954
a	30	94	818
a	91	92	682
a	74	60	309
a	77	33	876
a	25	11	309
a	50	5	983
a	33	91	503
a	32	83	978
a	71	82	218
a	1	50	290
a	21	63	173
a	95	88	859
a	63	99	159
a	29	15	347
a	16	12	984
a	93	18	833
a	41	20	257
a	98	95	390
a	61	73	340
a	26	93	398
a	79	35	820
a	9	35	53
a	30	54	745
a	88	89	515
a	69	25	965
a	34	45	68
a	52	71	353
a	91	36	884
a	56	2	340
a	42	61	883
a	81	14	801
a	45	32	640
a	84	13	277
a	67	79	632
a	30	65	799
a	13	55	773
a	74	39	633
a	95	48	361
a	99	53	208
a	53	17	523
a	78	11	677
a	90	22	50
a	54	48	880
a	37	88	369
a	36	78	77
a	58	63	608
a	41	29	750
a	27	94	857
a	83	45	130
a	30	57	114
a	86	74	286
a	17	36	773
a	91	61	31
a	59	20	375
a	6	70	255
a	87	41	708
a	92	84	700
a	40	82	543
a	60	13	672
a	64	72	833
a	33	85	699
a	71	64	898
a	18	76	323
a	75	5	359
a	39	27	751
a	78	18	218
a	100	27	742
a	51	44	559
a	90	17	554
a	41	6	152
a	98	81	907
a	79	49	697
a	62	91	323
a	27	87	458
a	83	50	539
a	5	40	476
a	88	39	379
a	52	85	338
a	56	16	617
a	10	52	370
a	11	31	602
a	50	46	520
a	75	58	172
a	39	16	864
a	22	72	610
a	80	79	484
a	97	9	948
a	46	66	904
a	54	2	801
a	15	72	773
a	56	23	734
a	55	33	833
a	20	5	273
a	84	26	602
a	70	29	287
a	38	42	851
a	3	84	929
a	60	3	689
a	64	70	771
a	65	72	599
a	82	16	270
a	11	20	56
a	50	41	298
a	71	54	663
a	36	20	822
a	58	89	195
