p	max	5000	20000
n	1	s	
n	2	t	
a	3436	3630	598
a	4938	2932	161
a	4128	4714	703
a	2164	1743	5
a	4519	1338	64
a	1740	3277	272
a	4238	3730	417
a	3196	3701	775
a	4086	2545	317
a	1992	4361	48
a	2511	4061	901
a	4644	1603	126
a	1384	241	182
a	555	4908	870
a	1979	3062	809
a	3092	4534	389
a	293	11	375
a	197	4754	56
a	4453	4142	92
a	805	4841	414
a	1652	1752	826
a	31	1348	354
a	2218	3353	521
a	1828	3534	879
a	3905	1329	193
a	3880	1341	405
a	4793	1416	139
a	4937	3373	843
a	1837	594	626
a	1770	631	607
a	4197	2657	858
a	165	3478	816
a	4440	1174	865
a	2577	3526	829
a	1320	898	751
a	3771	4398	957
a	771	970	109
a	1147	1145	132
a	2355	4769	368
a	506	2734	457
a	1931	4776	608
a	1387	4012	442
a	1061	4127	640
a	4151	776	723
a	3037	1824	711
a	931	4116	262
a	396	4761	894
a	4691	4868	786
a	1218	2159	609
a	4508	2669	685
a	618	1247	895
a	803	3791	926
a	227	1853	321
a	4991	3697	915
a	439	3669	346
a	4990	1648	723
a	3995	448	728
a	2875	3244	711
a	3544	4633	367
a	1057	4904	538
a	467	4909	309
a	2242	987	975
a	580	1031	79
a	3788	2341	110
a	76	879	820
a	2918	3186	981
a	2862	2352	43
a	165	1968	411
a	3313	162	1000
a	136	3282	251
a	1499	1733	729
a	3140	1173	292
a	3736	4993	113
a	1014	4363	634
a	501	921	623
a	2249	1416	331
a	1462	3773	15
a	3035	3202	467
a	3616	413	51
a	525	1475	133
a	2842	4032	628
a	2351	554	556
a	1416	358	755
a	3102	3289	257
a	3876	3981	620
a	1114	272	521
a	4603	4519	944
a	2296	3032	934
a	3592	4135	249
a	209	1263	709
a	3859	4188	241
a	1705	1953	603
a	4259	3651	167
a	2251	2081	461
a	1320	60	224
a	4608	2435	193
a	1580	1837	96
a	649	3657	297
a	3435	896	742
a	3610	1188	693
a	4316	717	300
a	2485	2929	911
a	2104	384	444
a	2760	4100	993
a	2736	2961	239
a	1145	2047	810
a	3677	4693	787
a	3462	1664	552
a	3215	2376	929
a	2131	534	219
a	1968	2969	867
a	3362	760	830
a	4018	4171	530
a	3101	157	516
a	536	391	48
a	174	1101	589
a	487	874	769
a	3547	4101	890
a	2935	2956	755
a	4881	1759	923
a	3215	683	730
a	4070	1125	594
a	4912	2763	50
a	4869	2603	538
a	4195	158	585
a	109	2407	549
a	569	3413	619
a	2407	1814	325
a	3151	1020	204
a	2786	2232	3
a	1153	3522	576
a	4621	4609	540
a	2091	4903	27
a	1039	2349	81
a	2151	3898	516
a	753	2238	699
a	2061	3763	576
a	796	3770	32
a	760	1545	26
a	1005	3053	694
a	4199	147	334
a	3591	2615	528
a	1121	897	517
a	2824	1657	971
a	302	4056	92
a	498	1599	534
a	1477	3593	395
a	3572	569	203
a	247	4892	720
a	3836	3190	490
a	987	3846	740
a	412	3426	457
a	3727	4390	176
a	4292	3615	19
a	3068	2091	215
a	1354	3809	499
a	3712	4899	469
a	1506	1444	361
a	846	81	446
a	4438	471	213
a	3736	273	287
a	3992	1302	25
a	548	2974	450
a	4401	2568	340
a	1244	2614	921
a	1220	235	684
a	843	4368	856
a	3723	1924	476
a	2942	4951	953
a	4725	4680	593
a	3755	1399	55
a	4780	2866	358
a	2816	3300	266
a	3751	4086	742
a	1823	1702	368
a	400	3307	792
a	4328	4716	309
a	3519	783	21
a	668	1807	973
a	1524	4402	825
a	3193	202	82
a	4331	2340	668
a	2990	1918	900
a	1400	1404	720
a	968	4897	797
a	706	309	917
a	2603	2307	626
a	1465	1516	121
a	1815	1492	412
a	4659	807	264
a	1448	3651	613
a	3777	3129	690
a	59	3020	746
a	1091	1353	402
a	4030	676	997
a	145	2419	273
a	2669	366	261
a	434	3934	423
a	2067	2539	47
a	2246	2820	651
a	781	1392	990
a	2283	733	231
a	1246	3946	762
a	250	4600	901
a	2968	2579	229
a	3439	1495	814
a	286	3651	1000
a	1897	459	385
a	4072	739	290
a	3331	4921	832
a	1854	3523	818
a	3640	1851	179
a	358	820	628
a	354	2095	91
a	844	4055	235
a	466	3469	402
a	2531	2682	441
a	4019	3071	475
a	3667	2057	490
a	4619	1046	443
a	3351	3087	740
a	3668	113	611
a	3869	1178	541
a	3046	2665	973
a	2788	4420	416
a	3581	4609	720
a	766	2439	919
a	3157	1238	763
a	45	2588	214
a	1079	4679	384
a	2840	3700	512
a	2601	2334	966
a	4597	4554	273
a	2882	2321	749
a	2471	1012	573
a	2129	2441	364
a	4743	2747	123
a	1756	3171	935
a	895	3550	571
a	781	3648	71
a	2646	4852	525
a	2905	3933	993
a	594	15	835
a	3559	4100	786
a	3362	3359	5
a	3142	607	749
a	784	1753	82
a	921	2984	411
a	1506	1870	443
a	753	3112	525
a	956	1070	456
a	1569	1833	837
a	3192	2870	898
a	4974	2146	298
a	4785	1235	155
a	2618	4641	343
a	1282	4594	907
a	4771	829	712
a	305	3538	12
a	4759	3908	554
a	4567	3070	939
a	1284	1618	62
a	4641	1418	101
a	2150	2639	985
a	59	2016	69
a	3311	2850	715
a	4924	107	536
a	668	1557	891
a	4983	2388	310
a	4190	3812	5
a	3469	4617	182
a	2115	3822	4
a	4570	1206	317
a	798	3127	764
a	750	1144	838
a	3546	2123	100
a	2139	2569	768
a	1033	1371	752
a	4052	633	906
a	1455	1556	189
a	2088	2996	368
a	1489	922	595
a	1336	1351	979
a	4292	3620	354
a	3635	2629	472
a	1170	1414	265
a	1154	3843	552
a	4549	2555	210
a	2687	3454	288
a	813	3370	945
a	4697	1385	70
a	2130	3457	493
a	1671	3310	35
a	2812	305	763
a	1024	1615	75
a	3009	4827	882
a	4600	1028	760
a	1121	3946	156
a	1836	3533	34
a	4151	962	936
a	157	2397	834
a	551	2605	158
a	3903	3341	229
a	3528	4145	580
a	1056	2471	765
a	663	3678	793
a	3651	4310	328
a	4786	4846	391
a	1628	2294	765
a	279	3337	740
a	2403	4120	519
a	3620	4637	62
a	4279	3475	744
a	1537	4470	398
a	3754	4196	60
a	2664	1248	232
a	2745	3981	352
a	317	3736	117
a	1339	1087	995
a	4290	3963	436
a	705	159	330
a	3578	4814	805
a	4739	2390	734
a	616	4150	904
a	2902	3852	333
a	2422	4058	867
a	3065	3097	824
a	604	4623	293
a	1646	4535	115
a	3246	477	82
a	1606	4069	627
a	3174	2340	252
a	1534	3764	715
a	2173	2101	492
a	4992	1999	2
a	4703	1157	578
a	1868	4106	129
a	1899	76	568
a	4713	3353	343
a	1092	2095	674
a	1904	4429	80
a	2863	236	89
a	1062	4531	816
a	1731	3433	920
a	4714	2555	21
a	4432	3348	111
a	4410	1772	549
a	3945	2849	115
a	4915	2082	475
a	2447	2608	401
a	4801	995	409
a	4941	2530	102
a	4264	2111	638
a	2640	3521	362
a	4085	319	150
a	3968	2697	950
a	685	1109	868
a	1879	2978	907
a	4377	3181	990
a	1022	4458	30
a	2623	4098	177
a	2863	4723	891
a	1610	2685	883
a	1578	1955	577
a	3911	2697	220
a	1021	2643	961
a	3959	1181	498
a	981	1553	747
a	2498	3152	792
a	4844	282	866
a	2819	1151	527
a	2207	2253	92
a	2325	1734	620
a	3028	891	872
a	2408	4	713
a	4577	3554	322
a	1355	382	336
a	30	4733	40
a	2363	2736	454
a	3456	2463	551
a	4204	1026	308
a	1046	3735	566
a	2923	1157	794
a	1775	2623	488
a	1572	1535	14
a	2067	190	118
a	2977	2063	747
a	3957	798	811
a	3620	706	942
a	4131	1287	92
a	2315	1037	44
a	2907	2427	904
a	3411	4184	387
a	4187	2500	877
a	3009	2624	623
a	8	2501	40
a	2145	3477	974
a	3204	83	206
a	3684	4842	959
a	4140	1043	473
a	3959	3026	799
a	3571	1193	813
a	4798	1823	613
a	2087	1304	31
a	1120	1220	353
a	4831	2078	180
a	557	1441	912
a	3977	988	586
a	4493	3110	141
a	1401	2170	732
a	1083	4773	187
a	4560	4121	573
a	1935	819	104
a	28	556	303
a	3433	1869	397
a	1172	2708	394
a	3386	41	999
a	1626	3147	394
a	1951	2402	458
a	2515	2573	672
a	3584	676	500
a	3723	3475	932
a	3778	4058	354
a	1842	2191	394
a	3413	577	617
a	2843	3507	248
a	2374	4704	28
a	2543	2527	944
a	644	2864	51
a	1201	4794	574
a	4465	2483	206
a	4402	1168	149
a	738	717	440
a	277	3668	755
a	4541	3283	870
a	921	4985	155
a	1205	4072	75
a	227	3221	132
a	730	1288	42
a	1092	162	765
a	2103	1555	25
a	3805	3688	52
a	4496	4863	612
a	2954	3303	634
a	220	605	809
a	679	1818	185
a	1001	4623	974
a	494	1912	616
a	1905	3190	901
a	1203	4896	774
a	1200	2542	948
a	879	179	613
a	1529	874	904
a	4099	1376	106
a	3674	316	486
a	3645	4992	59
a	4272	3868	465
a	4992	1297	784
a	152	707	767
a	289	3974	790
a	580	4031	173
a	4086	80	929
a	3729	2193	17
a	2627	1819	644
a	544	129	614
