p	max	2000	5000
n	1	s	
n	2	t	
a	1732	1627	1936
a	434	1724	3357
a	1	1102	4248
a	1657	424	3110
a	1348	295	3982
a	1052	1231	3148
a	1904	1818	4989
a	1005	85	333
a	470	288	1100
a	1952	608	4670
a	921	1252	1314
a	445	254	8836
a	465	1760	3900
a	785	1665	4438
a	1994	1910	8835
a	1	1353	9276
a	1021	1308	4695
a	770	614	2606
a	76	1441	9451
a	971	43	5152
a	1066	1816	5612
a	1983	771	490
a	494	887	7516
a	151	18	7534
a	615	585	9915
a	72	727	9031
a	1872	787	7479
a	951	760	4720
a	1372	618	2219
a	1912	911	6985
a	1748	364	8124
a	330	2	6479
a	455	1424	7007
a	1926	1453	2718
a	1552	718	8747
a	1399	1933	7152
a	1976	734	1276
a	1	1023	3672
a	1304	519	3303
a	1765	897	9034
a	867	994	1951
a	1828	73	1041
a	450	1790	3455
a	990	1224	1877
a	1184	1483	4220
a	1813	364	7607
a	882	320	5746
a	864	2	9721
a	25	744	1535
a	211	1409	7918
a	748	1108	7166
a	878	95	285
a	1212	1355	4763
a	1715	1380	3299
a	1	634	9261
a	1750	1999	3598
a	1458	1223	1770
a	1416	507	9719
a	1347	197	9016
a	1516	564	8557
a	1391	788	3301
a	566	635	5097
a	517	45	9367
a	498	2	1509
a	1660	323	6719
a	1151	1880	6359
a	1480	1437	6590
a	1317	566	860
a	698	1938	4353
a	576	534	7056
a	336	1291	61
a	786	1588	4181
a	1355	1965	4479
a	1479	4	7418
a	179	934	8183
a	575	1441	6463
a	1724	266	6973
a	1486	1645	6693
a	1852	21	5188
a	1	550	6383
a	1669	714	3121
a	1108	884	6969
a	1941	330	71
a	710	1464	1763
a	984	1250	2928
a	782	1988	6606
a	1579	1122	2162
a	1562	896	6593
a	419	766	6568
a	1100	2	7204
a	697	1949	4566
a	1419	1610	1865
a	956	1982	6528
a	1738	1616	3763
a	76	1829	6595
a	149	1707	4630
a	1536	265	7065
a	1884	345	547
a	1835	148	7004
a	540	981	1910
a	1	472	3311
a	854	1641	1954
a	1767	951	7174
a	1001	1396	3749
a	1604	1255	7439
a	467	1850	2633
a	1206	911	3279
a	178	487	5977
a	1122	1877	1146
a	1756	1044	7124
a	910	1710	4777
a	103	1948	407
a	1405	2	7881
a	836	149	4273
a	1869	666	2470
a	749	1285	1590
a	126	1640	1124
a	142	1485	5312
a	263	375	9470
a	890	1401	6632
a	1630	781	5319
a	996	1989	7883
a	603	497	670
a	1129	1945	7429
a	1	818	7507
a	886	755	4863
a	1715	1327	8416
a	134	258	3470
a	1463	525	7786
a	1051	1891	6629
a	1858	529	8060
a	17	673	8222
a	327	388	2319
a	290	631	2138
a	1271	373	791
a	1699	1692	8659
a	888	1265	5582
a	170	336	4072
a	1575	242	5513
a	1252	1721	6416
a	345	1451	6951
a	1672	930	5507
a	776	366	1819
a	856	1992	3461
a	1	1569	725
a	1593	1809	3453
a	230	2	6150
a	1334	1043	9135
a	1068	799	5990
a	1801	1758	8424
a	1176	1261	2564
a	1217	263	4116
a	168	284	3522
a	1472	68	7176
a	796	646	6929
a	230	78	965
a	1415	1863	4611
a	198	1367	1018
a	1159	918	3578
a	1	856	8903
a	938	1090	4729
a	332	1525	1258
a	1120	1812	6530
a	1271	1283	6678
a	1785	1943	438
a	1959	1273	9018
a	1140	125	9409
a	259	1072	3836
a	544	958	4908
a	246	924	8312
a	839	1929	5126
a	654	1227	8711
a	1618	160	9934
a	555	350	4313
a	1489	476	2415
a	1071	1918	7
a	1732	1604	3140
a	11	1852	1166
a	496	1315	8705
a	470	71	9926
a	936	1863	6748
a	933	550	5231
a	1086	1780	6169
a	1092	813	2254
a	599	1539	9361
a	1171	1578	3771
a	588	252	8322
a	528	942	9377
a	247	806	5911
a	1376	1058	3794
a	839	98	2165
a	407	22	1519
a	1757	1204	9607
a	409	1881	9050
a	485	974	669
a	1354	1365	3714
a	1821	1544	9566
a	696	1805	490
a	434	946	627
a	1124	929	6422
a	319	1917	3727
a	834	1715	324
a	418	1386	8074
a	134	1398	4038
a	1686	572	8014
a	1643	881	7489
a	429	399	6077
a	1004	517	1799
a	1989	790	9226
a	7	1698	827
a	1226	450	2514
a	1294	1467	1070
a	1322	1984	2261
a	481	1502	7695
a	298	764	8713
a	1376	25	9693
a	1709	202	8552
a	572	1209	3893
a	294	467	2927
a	1897	314	9165
a	1777	1884	899
a	618	726	506
a	1597	742	5021
a	75	337	9614
a	547	575	2314
a	71	1617	1031
a	861	1155	505
a	563	1653	466
a	1889	1290	9961
a	571	959	8131
a	333	844	5074
a	352	725	3261
a	47	1716	5409
a	1735	1962	9850
a	962	935	5887
a	1718	1218	4093
a	509	1568	7721
a	563	749	3500
a	45	163	7203
a	901	1018	7227
a	1512	647	2990
a	1415	1564	1317
a	1860	1301	9
a	1312	771	5431
a	1372	947	690
a	807	448	9021
a	681	1425	7792
a	1454	968	2680
a	262	974	9331
a	1716	1918	217
a	1270	1183	8278
a	25	715	9963
a	261	31	4512
a	1736	114	8415
a	1146	1252	7669
a	634	1456	7046
a	803	1502	6523
a	573	1412	4746
a	170	381	8433
a	1557	1650	8409
a	1058	804	2518
a	1425	376	7854
a	1585	1498	4689
a	660	1519	6096
a	1305	1363	737
a	517	1927	9241
a	945	1644	1746
a	851	1517	5779
a	1252	1867	7814
a	1170	1986	9950
a	1885	713	2615
a	179	1310	1255
a	279	471	2871
a	358	1880	3452
a	1673	1023	2765
a	556	1827	9521
a	901	1512	1692
a	1348	1686	2173
a	1911	985	611
a	96	161	4460
a	723	1576	2941
a	1110	1172	1926
a	81	179	2272
a	1983	1937	3237
a	1241	1896	4248
a	1216	1814	1018
a	312	360	2005
a	1530	1146	2142
a	1973	1480	1940
a	1841	154	3064
a	1225	1881	2264
a	499	1141	201
a	1809	998	9419
a	1796	1252	5734
a	1582	1581	6635
a	1599	1777	6656
a	425	139	8023
a	522	1374	8902
a	1792	174	9357
a	908	679	2717
a	1784	600	6808
a	1565	1975	169
a	708	1204	3967
a	620	360	1553
a	1724	792	2129
a	1464	254	3412
a	1451	1764	7583
a	1989	1388	6953
a	1538	980	6954
a	764	1891	4404
a	1138	380	9429
a	1413	860	2704
a	44	594	1344
a	1919	1337	5438
a	1355	338	3219
a	1775	1026	7750
a	1812	1144	3864
a	1650	1817	5587
a	1909	1636	6692
a	558	14	7670
a	1947	212	9916
a	1436	1163	5486
a	585	61	6876
a	718	1967	1211
a	1086	1119	8607
a	1546	1274	5573
a	290	1647	6964
a	1607	279	1367
a	870	14	3720
a	924	1170	6148
a	1354	331	8411
a	825	639	7367
a	335	550	4517
a	31	313	3079
a	175	905	1621
a	1633	90	391
a	14	1636	7343
a	1258	129	7136
a	1332	1672	6604
a	838	1381	2988
a	1581	43	1733
a	200	473	1225
a	755	137	3628
a	222	1230	9021
a	1517	1841	2000
a	1005	305	6996
a	610	1315	2213
a	1836	1963	6508
a	367	964	2400
a	715	1736	1406
a	511	670	848
a	1913	1171	2581
a	610	1012	868
a	1715	1113	3793
a	1548	1123	1025
a	788	1773	2188
a	916	922	8939
a	1926	980	8367
a	742	1071	9864
a	1344	303	8234
a	1732	658	6173
a	1995	64	5788
a	16	384	4526
a	1768	838	5965
a	951	363	8195
a	1236	459	2678
a	982	875	9955
a	413	1444	1337
a	286	297	4525
a	1112	375	9866
a	33	542	9815
a	1999	1560	2990
a	1014	730	2172
a	16	987	6371
a	1159	778	824
a	1035	1516	6084
a	400	1481	7027
a	681	872	4282
a	1823	176	5115
a	356	1946	963
a	400	1368	1725
a	1822	1708	8909
a	545	374	1372
a	430	1476	1285
a	1192	1126	7318
a	1604	1835	6073
a	1381	74	9044
a	406	587	5305
a	386	1240	9256
a	1470	1636	6920
a	173	1152	9798
a	1117	1521	9488
a	207	661	3720
a	608	1822	6272
a	1291	1497	5781
a	1011	1355	729
a	554	179	2590
a	1550	892	9872
a	116	1655	1628
a	1587	1820	7342
a	622	1337	4759
a	682	1906	2801
a	1599	273	1824
a	888	631	2719
a	157	932	7617
a	107	45	9074
a	881	1542	2804
a	260	1459	8835
a	274	1043	1661
a	1502	223	892
a	533	554	2243
a	1336	573	3637
a	1743	1560	7304
a	1735	1624	9204
a	1463	321	4046
a	538	805	1688
a	847	1885	3994
a	719	791	5876
a	570	101	7961
a	1240	1153	1238
a	1382	460	5776
a	95	1278	2694
a	1015	749	6332
a	811	162	1877
a	705	1467	6067
a	577	1776	6143
a	925	182	5074
a	1783	801	59
a	852	1273	9847
a	403	453	9527
a	1936	1345	1940
a	260	474	1010
a	194	1718	5920
a	997	405	2523
a	234	835	3771
a	668	382	3292
a	471	899	4065
a	1091	166	75
a	62	164	7011
a	1153	543	9676
a	935	1365	8693
a	694	1028	6706
a	508	1071	2534
a	1410	636	2150
a	547	1046	5459
a	1585	1066	5132
a	882	1199	505
a	1593	251	3409
a	1578	97	8234
a	1347	1112	6865
a	1149	1320	2093
a	1066	1776	9254
a	611	905	9268
