p	max	5000	20000
n	1	s	
n	2	t	
a	2168	4339	5476
a	3336	13	3522
a	228	4806	1490
a	2914	9	4972
a	1683	1145	1124
a	185	1538	2826
a	275	1920	203
a	509	2928	6650
a	3079	1825	9187
a	2209	3056	9559
a	2422	2926	3064
a	2629	2953	4450
a	2153	1448	6764
a	2796	2118	9005
a	2045	4960	6362
a	2569	4467	766
a	4741	2775	7220
a	4011	848	3080
a	4627	484	7562
a	3831	3540	6724
a	1446	1908	4003
a	2012	3377	9882
a	3772	2526	8997
a	2676	4733	6019
a	3203	1394	4091
a	4912	504	713
a	2308	1790	4829
a	3987	3006	2610
a	3730	1325	5645
a	1439	2931	2844
a	2576	4637	2221
a	586	51	8110
a	3889	148	5714
a	4420	54	7793
a	215	2246	5602
a	167	4215	4451
a	81	2214	5839
a	3395	108	2055
a	2019	2070	258
a	1744	4292	1310
a	1976	1307	9039
a	652	25	5069
a	3406	1900	8546
a	1126	1743	7935
a	3517	2918	3154
a	2862	4160	7102
a	4281	4739	4293
a	3766	681	8348
a	1449	4561	1791
a	3920	2349	4502
a	3286	4034	9436
a	4221	1287	174
a	3945	2190	7065
a	1162	4697	5564
a	1476	4634	31
a	515	1916	566
a	2548	275	4023
a	1582	2286	706
a	3148	4558	4774
a	4435	4239	5743
a	4327	1833	1004
a	507	856	6137
a	1697	2555	339
a	4235	892	4774
a	226	2260	1758
a	1622	1380	3603
a	1893	4923	4266
a	3260	156	4735
a	2139	1990	1640
a	2319	687	9690
a	2618	1560	9566
a	776	4878	6562
a	3603	3123	5579
a	4919	4021	6788
a	3175	4061	7527
a	2435	2971	1301
a	4684	1493	3547
a	2472	987	7766
a	61	1851	6562
a	3799	2809	2724
a	4623	1467	8431
a	4159	3270	5438
a	3777	2659	6257
a	2452	4812	5398
a	4177	3763	8183
a	1091	1314	901
a	4464	3422	9098
a	2700	4457	2248
a	2589	4826	8143
a	4748	4922	8293
a	1955	695	1493
a	731	2297	9259
a	3442	4860	1879
a	1564	2221	7161
a	3143	1788	2791
a	1935	2614	346
a	4174	362	4049
a	1435	1740	3167
a	2550	2527	5437
a	2262	4303	1325
a	4571	4435	6736
a	1644	1368	99
a	3418	734	8708
a	4160	4165	2099
a	4621	4296	398
a	4606	979	325
a	3276	2131	5770
a	198	4012	133
a	3191	1465	2466
a	4365	132	7776
a	1750	1882	9490
a	2337	533	392
a	3894	4184	7677
a	190	4483	2753
a	2548	858	2808
a	1974	2351	9686
a	3068	3145	5423
a	1385	4423	526
a	2093	3895	8990
a	549	2456	9374
a	3333	563	4133
a	4228	1367	1946
a	1737	4702	7978
a	4847	4679	8697
a	1832	2733	939
a	435	605	1199
a	1219	1441	667
a	4689	2207	4631
a	1298	4276	9025
a	3350	3192	891
a	3384	1703	7348
a	1773	2531	3520
a	1535	4652	871
a	3073	1413	9188
a	200	3464	3411
a	279	698	1982
a	2331	4675	6240
a	1707	4926	9644
a	3558	3853	7171
a	4090	3527	1623
a	4474	2032	2436
a	4087	3654	6515
a	505	4357	4859
a	3136	2220	7553
a	783	2081	5896
a	1312	2768	5475
a	4016	1055	8727
a	924	3101	7070
a	4747	585	1790
a	4596	4316	8262
a	3364	1554	1991
a	2863	4990	1230
a	4407	2952	2726
a	445	3441	4911
a	3253	1947	9014
a	1347	298	4297
a	4823	3430	6886
a	1916	108	4398
a	822	4256	9744
a	1293	1793	8243
a	3245	152	411
a	69	2132	359
a	2304	68	6916
a	3763	1940	1956
a	260	1387	1036
a	1592	104	1751
a	4226	4682	3227
a	3617	1135	3783
a	315	4662	8511
a	3445	4219	7522
a	933	2550	9323
a	1919	3400	6946
a	1799	3960	1230
a	29	630	8402
a	860	3544	7431
a	1606	4860	1922
a	1293	4580	1210
a	3928	1071	3289
a	427	948	3758
a	321	1705	6147
a	2522	3530	7
a	1434	341	6829
a	1372	2525	1428
a	975	1224	1523
a	179	4862	3197
a	239	4987	7900
a	773	2833	2282
a	3029	1853	1418
a	147	2405	6790
a	3890	3271	181
a	2013	2967	3478
a	1225	4140	948
a	151	847	8101
a	2734	1909	9259
a	3110	1548	2279
a	1797	168	8630
a	634	1596	501
a	3361	3463	8896
a	2588	4013	6350
a	4816	3435	3050
a	3817	526	4061
a	2836	4991	415
a	3128	4268	3454
a	2908	2692	6950
a	4760	573	9247
a	3563	3900	9326
a	4003	2475	2165
a	3489	2097	7429
a	2162	2042	6763
a	4626	3290	1146
a	1972	454	4492
a	4713	652	9340
a	4560	3082	2566
a	904	3650	327
a	1063	4365	1214
a	3883	224	9678
a	3599	292	5051
a	2539	2256	8592
a	3209	66	363
a	3495	2704	4287
a	4548	4706	493
a	2765	1173	4657
a	3418	4021	2922
a	1569	3641	8782
a	784	4324	8210
a	1970	1432	6726
a	4373	2615	7070
a	1002	3116	3219
a	1840	2264	2694
a	2925	3724	2461
a	4075	2582	4740
a	4300	3423	4984
a	2152	537	99
a	3871	3174	7434
a	1278	3042	4760
a	1448	3954	870
a	4847	1188	1917
a	3173	2369	8857
a	2449	880	8880
a	949	1255	6277
a	2629	3299	9376
a	4954	2802	2144
a	4652	4782	7768
a	4088	2320	5611
a	4787	1698	6934
a	1522	550	512
a	4817	2779	9989
a	11	3335	2207
a	3951	2068	9515
a	4137	4597	4739
a	2179	3457	805
a	3007	1679	9983
a	1314	1473	7300
a	1883	1680	8837
a	3873	4338	2321
a	4988	1171	7316
a	3266	4573	4438
a	552	491	6801
a	2440	3925	5181
a	3833	4250	8302
a	2328	3710	4250
a	2441	289	6229
a	1478	257	8794
a	4882	4145	8440
a	791	3950	3906
a	4022	262	8913
a	4093	2158	6673
a	1775	1678	2845
a	4598	4191	1267
a	3986	4471	7393
a	1776	4592	1344
a	247	4842	866
a	1675	3944	3116
a	709	4078	406
a	4564	3570	9772
a	1141	4888	6630
a	2899	4425	9391
a	2348	4161	5032
a	1283	1420	7415
a	256	258	116
a	1592	2907	8983
a	553	905	5086
a	1402	2466	2189
a	1495	2247	353
a	1910	1250	4343
a	460	256	292
a	1972	1473	427
a	4327	4953	1121
a	166	1882	3134
a	2495	3911	3509
a	4750	2661	2382
a	4678	3868	3075
a	2491	412	9529
a	626	2145	2623
a	895	3787	5581
a	1621	4917	9630
a	377	34	9305
a	2898	832	1471
a	1925	4773	5080
a	4584	1527	5954
a	133	4824	3488
a	4861	2198	5569
a	2547	3971	9132
a	4020	1064	2250
a	3828	3853	6280
a	1406	3387	6701
a	3276	4736	9937
a	682	4007	4600
a	403	1082	2218
a	1561	2745	2218
a	3519	505	5042
a	3747	3930	8335
a	4803	3118	1282
a	1788	3145	1652
a	1843	312	2016
a	3245	4337	4463
a	2140	2671	3640
a	327	3445	8773
a	3172	3013	309
a	4223	2661	1232
a	2231	1437	8900
a	344	3830	1837
a	4444	2533	274
a	2648	2248	3440
a	988	2091	7285
a	4991	1449	6511
a	1619	4007	4482
a	3001	2840	5882
a	2161	1919	5711
a	2828	4895	4113
a	3673	782	3638
a	1055	1652	9446
a	2559	231	7218
a	3564	120	2847
a	2222	2472	9705
a	4602	18	3664
a	363	4042	387
a	2272	141	5913
a	3461	712	4199
a	737	1378	1346
a	1296	4390	9300
a	4544	4813	4752
a	2443	4855	8863
a	2751	4234	5131
a	3331	3941	7253
a	969	544	4042
a	4443	1478	2328
a	4882	4755	4141
a	1347	3440	2677
a	1450	1856	976
a	357	644	3510
a	4899	4625	6774
a	3007	4816	9440
a	1680	4546	3827
a	2010	4482	2603
a	4981	3110	6070
a	4480	136	8950
a	2842	1525	3724
a	2325	906	7080
a	353	3145	9413
a	820	3351	422
a	4190	3247	9088
a	2905	45	8720
a	1190	812	8829
a	1577	2053	6010
a	871	4424	6325
a	1382	2768	6703
a	3714	1050	3610
a	3660	209	1854
a	1159	3056	5832
a	2952	2205	5709
a	3264	3070	1961
a	3165	4817	8109
a	4046	4170	9078
a	2493	1672	6322
a	3583	1455	7046
a	1229	4905	3589
a	4335	3483	2795
a	962	2480	1529
a	3031	3909	7913
a	3963	878	1385
a	3066	924	4856
a	1425	3001	8153
a	3928	118	6492
a	4401	1298	571
a	4012	1193	2155
a	393	2246	9139
a	4351	149	5945
a	3903	842	268
a	3007	4993	7345
a	2263	2436	8388
a	4204	4996	2663
a	728	2392	5654
a	3500	3510	6989
a	1087	2538	7098
a	2154	1576	4508
a	3859	4134	2607
a	4624	1592	3704
a	2879	2365	1061
a	545	1881	5844
a	102	166	681
a	374	923	7757
a	2432	594	7312
a	3399	4295	2145
a	1461	4447	7860
a	4113	871	8775
a	3240	3199	5685
a	4574	1462	166
a	3697	2137	257
a	362	3100	2546
a	1888	2274	5433
a	668	2442	8763
a	1174	316	2944
a	2009	1175	8547
a	577	3953	3252
a	3001	917	9378
a	2710	895	5054
a	3348	2990	7109
a	311	932	4839
a	4746	1535	8429
a	310	1047	4332
a	4567	4528	3772
a	1825	2220	5960
a	4863	1774	9347
a	4489	2358	8237
a	4010	4256	1035
a	3311	3444	8428
